Liechtenstein 39151
Australia 25704340
Cameroon 24348251
Germany 83129285
Greece 10718565
Lithuania 2777991
Denmark 5867412
Sweden 10443153
Brazil 213317639
Japan 125070000
Peru 33035304
Jamaica 2726667
Swaziland 1250000
Ireland 5011500
Mexico 126014024
Romania 19186000
Singapore 5453600
Uruguay 3286314
Namibia 2113077
Burundi 10163000
Ecuador 15599800
Italy 59097904
Spain 47394223
Bolivia 11841955
Argentina 45808747
Netherlands 17582493
Tunisia 11708370
Fiji 893468
Egypt 101478581
Andorra 78015
Monaco 38350
Panama 4278500
